product_id,name_en,name_hi,name_mr,name_ta,type,default_serving_g,source
rice_raw,Rice,चावल,तांदूळ,அரிசி,raw_crop,1000,S1
wheat_raw,Wheat,गेहूँ,गहू,கோதுமை,raw_crop,1000,S1
onion_raw,Onion,प्याज़,कांदा,வெங்காயம்,raw_crop,1000,S1
potato_raw,Potato,आलू,बटाटा,உருளைக்கிழங்கு,raw_crop,1000,S1
tomato_raw,Tomato,टमाटर,टोमॅटो,தக்காளி,raw_crop,1000,S1
okra_raw,Okra (Bhindi),भिंडी,भेंडी,வெண்டைக்காய்,raw_crop,250,S1
bajra_raw,Pearl Millet (Bajra),बाजरा,बाजरी,கம்பு,raw_crop,1000,S1
jowar_raw,Sorghum (Jowar),ज्वार,ज्वारी,சோளம்,raw_crop,1000,S1
ragi_raw,Finger Millet (Ragi),रागी,नाचणी,கேழ்வரகு,raw_crop,1000,S1
maize_raw,Maize,मक्का,मका,மக்காச்சோளம்,raw_crop,1000,S1
sugarcane_raw,Sugarcane,गन्ना,ऊस,கரும்பு,raw_crop,1000,S1
banana_raw,Banana,केला,केळं,வாழைப்பழம்,raw_crop,1000,S1
mango_raw,Mango,आम,आंबा,மாம்பழம்,raw_crop,1000,S1
apple_raw,Apple,सेब,सफरचंद,ஆப்பிள்,raw_crop,1000,S1
coconut_raw,Coconut,नारियल,नारळ,தேங்காய்,raw_crop,1000,S1
chickpea_raw,Chickpea,चना,हरभरा,கொண்டைக்கடலை,raw_crop,1000,S1
lentil_raw,Lentil,मसूर,मसूर,மைசூர் பருப்பு,raw_crop,1000,S1
groundnut_raw,Groundnut,मूंगफली,शेंगदाणे,நிலக்கடலை,raw_crop,1000,S1
soybean_raw,Soybean,सोयाबीन,सोयाबीन,சோயா,raw_crop,1000,S1
milk_raw,Milk,दूध,दूध,பால்,raw_crop,1000,S2
egg_raw,Egg,अंडा,अंडं,முட்டை,raw_crop,1000,S2
chicken_raw,Chicken,चिकन,चिकन,கோழி இறைச்சி,raw_crop,1000,S2
tea_raw,Tea Leaves,चाय पत्ती,चहा पावडर,தேயிலை,raw_crop,1000,S1
coffee_raw,Coffee,कॉफ़ी,कॉफी,காபி,raw_crop,1000,S1
cotton_tshirt,Cotton T-Shirt,सूती टी-शर्ट,सुती टी-शर्ट,பருத்தி டி-சர்ட்,non_food,200,S1
jeans_pair,Pair of Jeans,जींस,जीन्स,ஜீன்ஸ்,non_food,700,S1
cotton_raw,Cotton,कपास,कापूस,பருத்தி,raw_crop,1000,S1
cotton_saree,Cotton Saree,सूती साड़ी,सुती साडी,பருத்தி புடவை,non_food,500,S1
jute_bag,Jute Bag,जूट बैग,ताग पिशवी,சணல் பை,non_food,150,S1
biryani_chicken,Chicken Biryani,चिकन बिरयानी,चिकन बिर्याणी,சிக்கன் பிரியாணி,cooked_dish,350,S1+S2
biryani_veg,Vegetable Biryani,वेज बिरयानी,व्हेज बिर्याणी,காய்கறி பிரியாணி,cooked_dish,300,S1
dal_tadka,Dal Tadka,दाल तड़का,डाळ तडका,பருப்பு தாளிப்பு,cooked_dish,200,S1
dal_rice,Dal Chawal,दाल चावल,वरण भात,பருப்பு சாதம்,cooked_dish,400,S1
roti,Roti / Chapati,रोटी,चपाती,சப்பாத்தி,cooked_dish,40,S1
idli,Idli,इडली,इडली,இட்லி,cooked_dish,150,S1
dosa,Dosa,डोसा,डोसा,தோசை,cooked_dish,120,S1
masala_dosa,Masala Dosa,मसाला डोसा,मसाला डोसा,மசாலா தோசை,cooked_dish,200,S1
poha,Poha,पोहा,पोहे,அவல்,cooked_dish,200,S1
upma,Upma,उपमा,उपमा,உப்புமா,cooked_dish,200,S1
chole_bhature,Chole Bhature,छोले भटूरे,छोले भटुरे,சோலே பட்டூரே,cooked_dish,350,S1
rajma_chawal,Rajma Chawal,राजमा चावल,राजमा भात,ராஜ்மா சாதம்,cooked_dish,400,S1
paneer_butter_masala,Paneer Butter Masala,पनीर बटर मसाला,पनीर बटर मसाला,பன்னீர் பட்டர் மசாலா,cooked_dish,250,S2
aloo_paratha,Aloo Paratha,आलू पराठा,बटाटा पराठा,உருளைக்கிழங்கு பராத்தா,cooked_dish,150,S1
samosa,Samosa,समोसा,समोसा,சமோசா,cooked_dish,100,S1
vada_pav,Vada Pav,वड़ा पाव,वडा पाव,வடை பாவ்,cooked_dish,150,S1
pav_bhaji,Pav Bhaji,पाव भाजी,पाव भाजी,பாவ் பாஜி,cooked_dish,300,S1
curd_rice,Curd Rice,दही चावल,दही भात,தயிர் சாதம்,cooked_dish,300,S2
sambar_rice,Sambar Rice,सांभर चावल,सांबार भात,சாம்பார் சாதம்,cooked_dish,350,S1
bhindi_masala,Bhindi Masala,भिंडी मसाला,भेंडी मसाला,வெண்டைக்காய் மசாலா,cooked_dish,200,S1
khichdi,Khichdi,खिचड़ी,खिचडी,கிச்சடி,cooked_dish,350,S1
pulao,Pulao,पुलाव,पुलाव,புலாவ்,cooked_dish,300,S1
chai,Masala Chai,चाय,चहा,தேநீர்,cooked_dish,150,S1+S2
filter_coffee,Filter Coffee,फ़िल्टर कॉफ़ी,फिल्टर कॉफी,பில்டர் காபி,cooked_dish,150,S1+S2
